mL,CV,Channel,Fraction,Sample,Normalization,Value
0.205536,0.008564,mAU,1,Exp130_SEC,Signal,-0.484194
0.208448,0.0086853333333333,mAU,1,Exp130_SEC,Signal,-0.512667
0.211359,0.008806625,mAU,1,Exp130_SEC,Signal,-0.540626
0.214271,0.0089279583333333,mAU,1,Exp130_SEC,Signal,-0.565548
0.217182,0.00904925,mAU,1,Exp130_SEC,Signal,-0.592589
0.220094,0.0091705833333333,mAU,1,Exp130_SEC,Signal,-0.623172
0.223006,0.0092919166666666,mAU,1,Exp130_SEC,Signal,-0.651697
0.225917,0.0094132083333333,mAU,1,Exp130_SEC,Signal,-0.678028
0.228829,0.0095345416666666,mAU,1,Exp130_SEC,Signal,-0.703953
0.23174,0.0096558333333333,mAU,1,Exp130_SEC,Signal,-0.728255
0.234652,0.0097771666666666,mAU,1,Exp130_SEC,Signal,-0.751246
0.237563,0.0098984583333333,mAU,1,Exp130_SEC,Signal,-0.776181
0.240475,0.0100197916666666,mAU,1,Exp130_SEC,Signal,-0.802675
0.243386,0.0101410833333333,mAU,1,Exp130_SEC,Signal,-0.828131
0.246298,0.0102624166666666,mAU,1,Exp130_SEC,Signal,-0.851851
0.24921,0.0103837499999999,mAU,1,Exp130_SEC,Signal,-0.873021
0.252121,0.0105050416666666,mAU,1,Exp130_SEC,Signal,-0.893665
0.255033,0.010626375,mAU,1,Exp130_SEC,Signal,-0.917395
0.257944,0.0107476666666666,mAU,1,Exp130_SEC,Signal,-0.939514
0.260856,0.0108689999999999,mAU,1,Exp130_SEC,Signal,-0.96037
0.263767,0.0109902916666666,mAU,1,Exp130_SEC,Signal,-0.979934
0.266679,0.011111625,mAU,1,Exp130_SEC,Signal,-0.998094
0.26959,0.0112329166666666,mAU,1,Exp130_SEC,Signal,-1.016105
0.272502,0.01135425,mAU,1,Exp130_SEC,Signal,-1.035205
0.275414,0.0114755833333333,mAU,1,Exp130_SEC,Signal,-1.056312
0.278325,0.011596875,mAU,1,Exp130_SEC,Signal,-1.074911
0.281237,0.0117182083333333,mAU,1,Exp130_SEC,Signal,-1.090523
0.284148,0.0118395,mAU,1,Exp130_SEC,Signal,-1.104985
0.28706,0.0119608333333333,mAU,1,Exp130_SEC,Signal,-1.120226
0.289971,0.0120821249999999,mAU,1,Exp130_SEC,Signal,-1.136848
0.292883,0.0122034583333333,mAU,1,Exp130_SEC,Signal,-1.15292
0.295794,0.01232475,mAU,1,Exp130_SEC,Signal,-1.167557
0.298706,0.0124460833333333,mAU,1,Exp130_SEC,Signal,-1.181983
0.301618,0.0125674166666666,mAU,1,Exp130_SEC,Signal,-1.195823
0.304529,0.0126887083333333,mAU,1,Exp130_SEC,Signal,-1.209227
0.307441,0.0128100416666666,mAU,1,Exp130_SEC,Signal,-1.223148
0.310352,0.0129313333333333,mAU,1,Exp130_SEC,Signal,-1.236945
0.313264,0.0130526666666666,mAU,1,Exp130_SEC,Signal,-1.249854
0.316175,0.0131739583333333,mAU,1,Exp130_SEC,Signal,-1.262977
0.319087,0.0132952916666666,mAU,1,Exp130_SEC,Signal,-1.274618
0.321998,0.0134165833333333,mAU,1,Exp130_SEC,Signal,-1.28598
0.32491,0.0135379166666666,mAU,1,Exp130_SEC,Signal,-1.297459
0.327822,0.01365925,mAU,1,Exp130_SEC,Signal,-1.308049
0.330733,0.0137805416666666,mAU,1,Exp130_SEC,Signal,-1.319098
0.333645,0.013901875,mAU,1,Exp130_SEC,Signal,-1.328511
0.336556,0.0140231666666666,mAU,1,Exp130_SEC,Signal,-1.332666
0.339468,0.0141444999999999,mAU,1,Exp130_SEC,Signal,-1.332022
0.342379,0.0142657916666666,mAU,1,Exp130_SEC,Signal,-1.339842
0.345291,0.014387125,mAU,1,Exp130_SEC,Signal,-1.349718
0.348202,0.0145084166666666,mAU,1,Exp130_SEC,Signal,-1.360027
0.351114,0.0146297499999999,mAU,1,Exp130_SEC,Signal,-1.369364
0.354026,0.0147510833333333,mAU,1,Exp130_SEC,Signal,-1.378606
0.356937,0.014872375,mAU,1,Exp130_SEC,Signal,-1.388506
0.359849,0.0149937083333333,mAU,1,Exp130_SEC,Signal,-1.39849
0.36276,0.015115,mAU,1,Exp130_SEC,Signal,-1.407878
0.365672,0.0152363333333333,mAU,1,Exp130_SEC,Signal,-1.41969
0.368583,0.015357625,mAU,1,Exp130_SEC,Signal,-1.431135
0.371495,0.0154789583333333,mAU,1,Exp130_SEC,Signal,-1.443396
0.374406,0.01560025,mAU,1,Exp130_SEC,Signal,-1.455526
0.377318,0.0157215833333333,mAU,1,Exp130_SEC,Signal,-1.472782
0.38023,0.0158429166666666,mAU,1,Exp130_SEC,Signal,-1.492178
0.383141,0.0159642083333333,mAU,1,Exp130_SEC,Signal,-1.506701
0.386053,0.0160855416666666,mAU,1,Exp130_SEC,Signal,-1.520106
0.388964,0.0162068333333333,mAU,1,Exp130_SEC,Signal,-1.531623
0.391876,0.0163281666666666,mAU,1,Exp130_SEC,Signal,-1.542535
0.394787,0.0164494583333333,mAU,1,Exp130_SEC,Signal,-1.551817
0.397699,0.0165707916666666,mAU,1,Exp130_SEC,Signal,-1.561344
0.40061,0.0166920833333333,mAU,1,Exp130_SEC,Signal,-1.570943
0.403522,0.0168134166666666,mAU,1,Exp130_SEC,Signal,-1.5795
0.406433,0.0169347083333333,mAU,1,Exp130_SEC,Signal,-1.587353
0.409345,0.0170560416666666,mAU,1,Exp130_SEC,Signal,-1.596758
0.412257,0.0171773749999999,mAU,1,Exp130_SEC,Signal,-1.605114
0.415168,0.0172986666666666,mAU,1,Exp130_SEC,Signal,-1.612888
0.41808,0.01742,mAU,1,Exp130_SEC,Signal,-1.620916
0.420991,0.0175412916666666,mAU,1,Exp130_SEC,Signal,-1.628311
0.423903,0.0176626249999999,mAU,1,Exp130_SEC,Signal,-1.635584
0.426814,0.0177839166666666,mAU,1,Exp130_SEC,Signal,-1.64352
0.429726,0.01790525,mAU,1,Exp130_SEC,Signal,-1.651583
0.432637,0.0180265416666666,mAU,1,Exp130_SEC,Signal,-1.657713
0.435549,0.018147875,mAU,1,Exp130_SEC,Signal,-1.664091
0.438461,0.0182692083333333,mAU,1,Exp130_SEC,Signal,-1.672068
0.441372,0.0183905,mAU,1,Exp130_SEC,Signal,-1.680178
0.444284,0.0185118333333333,mAU,1,Exp130_SEC,Signal,-1.687832
0.447195,0.018633125,mAU,1,Exp130_SEC,Signal,-1.695317
0.450107,0.0187544583333333,mAU,1,Exp130_SEC,Signal,-1.70264
0.453018,0.01887575,mAU,1,Exp130_SEC,Signal,-1.709249
0.45593,0.0189970833333333,mAU,1,Exp130_SEC,Signal,-1.71577
0.458841,0.019118375,mAU,1,Exp130_SEC,Signal,-1.72246
0.461753,0.0192397083333333,mAU,1,Exp130_SEC,Signal,-1.73103
0.464665,0.0193610416666666,mAU,1,Exp130_SEC,Signal,-1.738633
0.467576,0.0194823333333333,mAU,1,Exp130_SEC,Signal,-1.745092
0.470488,0.0196036666666666,mAU,1,Exp130_SEC,Signal,-1.751209
0.473399,0.0197249583333333,mAU,1,Exp130_SEC,Signal,-1.757956
0.476311,0.0198462916666666,mAU,1,Exp130_SEC,Signal,-1.765654
0.479222,0.0199675833333333,mAU,1,Exp130_SEC,Signal,-1.772817
0.482134,0.0200889166666666,mAU,1,Exp130_SEC,Signal,-1.779922
0.485045,0.0202102083333333,mAU,1,Exp130_SEC,Signal,-1.786604
0.487957,0.0203315416666666,mAU,1,Exp130_SEC,Signal,-1.792762
0.490869,0.020452875,mAU,1,Exp130_SEC,Signal,-1.799118
0.49378,0.0205741666666666,mAU,1,Exp130_SEC,Signal,-1.805991
0.496692,0.0206955,mAU,1,Exp130_SEC,Signal,-1.812795
0.499603,0.0208167916666666,mAU,1,Exp130_SEC,Signal,-1.818913
0.502515,0.020938125,mAU,1,Exp130_SEC,Signal,-1.825921
0.505426,0.0210594166666666,mAU,1,Exp130_SEC,Signal,-1.832139
0.508338,0.0211807499999999,mAU,1,Exp130_SEC,Signal,-1.838606
0.511249,0.0213020416666666,mAU,1,Exp130_SEC,Signal,-1.846375
0.514161,0.0214233749999999,mAU,1,Exp130_SEC,Signal,-1.853168
0.517072,0.0215446666666666,mAU,1,Exp130_SEC,Signal,-1.859477
0.519984,0.021666,mAU,1,Exp130_SEC,Signal,-1.866837
0.522896,0.0217873333333333,mAU,1,Exp130_SEC,Signal,-1.874038
0.525807,0.021908625,mAU,1,Exp130_SEC,Signal,-1.881046
0.528719,0.0220299583333333,mAU,1,Exp130_SEC,Signal,-1.888127
0.53163,0.02215125,mAU,1,Exp130_SEC,Signal,-1.896146
0.534542,0.0222725833333333,mAU,1,Exp130_SEC,Signal,-1.902522
0.537453,0.0223938749999999,mAU,1,Exp130_SEC,Signal,-1.910097
0.540365,0.0225152083333333,mAU,1,Exp130_SEC,Signal,-1.918062
0.543276,0.0226365,mAU,1,Exp130_SEC,Signal,-1.925024
0.546188,0.0227578333333333,mAU,1,Exp130_SEC,Signal,-1.932962
0.5491,0.0228791666666666,mAU,1,Exp130_SEC,Signal,-1.941028
0.552011,0.0230004583333333,mAU,1,Exp130_SEC,Signal,-1.949249
0.554923,0.0231217916666666,mAU,1,Exp130_SEC,Signal,-1.955795
0.557834,0.0232430833333333,mAU,1,Exp130_SEC,Signal,-1.962554
0.560746,0.0233644166666666,mAU,1,Exp130_SEC,Signal,-1.96908
0.563657,0.0234857083333333,mAU,1,Exp130_SEC,Signal,-1.975151
0.566569,0.0236070416666666,mAU,1,Exp130_SEC,Signal,-1.981162
0.56948,0.0237283333333333,mAU,1,Exp130_SEC,Signal,-1.986667
0.572392,0.0238496666666666,mAU,1,Exp130_SEC,Signal,-1.993877
0.575304,0.023971,mAU,1,Exp130_SEC,Signal,-1.99853
0.578215,0.0240922916666666,mAU,1,Exp130_SEC,Signal,-2.003177
0.581127,0.024213625,mAU,1,Exp130_SEC,Signal,-2.00813
0.584038,0.0243349166666666,mAU,1,Exp130_SEC,Signal,-2.013851
0.58695,0.02445625,mAU,1,Exp130_SEC,Signal,-2.019426
0.589861,0.0245775416666666,mAU,1,Exp130_SEC,Signal,-2.023652
0.592773,0.024698875,mAU,1,Exp130_SEC,Signal,-2.027553
0.595684,0.0248201666666666,mAU,1,Exp130_SEC,Signal,-2.034493
0.598596,0.0249415,mAU,1,Exp130_SEC,Signal,-2.039079
0.601508,0.0250628333333333,mAU,1,Exp130_SEC,Signal,-2.045922
0.604419,0.025184125,mAU,1,Exp130_SEC,Signal,-2.052187
0.607331,0.0253054583333333,mAU,1,Exp130_SEC,Signal,-2.058841
0.610242,0.0254267499999999,mAU,1,Exp130_SEC,Signal,-2.06527
0.613154,0.0255480833333333,mAU,1,Exp130_SEC,Signal,-2.069811
0.616065,0.0256693749999999,mAU,1,Exp130_SEC,Signal,-2.076503
0.618977,0.0257907083333333,mAU,1,Exp130_SEC,Signal,-2.08348
0.621888,0.025912,mAU,1,Exp130_SEC,Signal,-2.091829
0.6248,0.0260333333333333,mAU,1,Exp130_SEC,Signal,-2.099463
0.627712,0.0261546666666666,mAU,1,Exp130_SEC,Signal,-2.107593
0.630623,0.0262759583333333,mAU,1,Exp130_SEC,Signal,-2.115134
0.633535,0.0263972916666666,mAU,1,Exp130_SEC,Signal,-2.121977
0.636446,0.0265185833333333,mAU,1,Exp130_SEC,Signal,-2.129179
0.639358,0.0266399166666666,mAU,1,Exp130_SEC,Signal,-2.135321
0.642269,0.0267612083333333,mAU,1,Exp130_SEC,Signal,-2.141836
0.645181,0.0268825416666666,mAU,1,Exp130_SEC,Signal,-2.148372
0.648092,0.0270038333333333,mAU,1,Exp130_SEC,Signal,-2.153688
0.651004,0.0271251666666666,mAU,1,Exp130_SEC,Signal,-2.158056
0.653916,0.0272465,mAU,1,Exp130_SEC,Signal,-2.163898
0.656827,0.0273677916666666,mAU,1,Exp130_SEC,Signal,-2.171294
0.659739,0.027489125,mAU,1,Exp130_SEC,Signal,-2.178081
0.66265,0.0276104166666666,mAU,1,Exp130_SEC,Signal,-2.183049
0.665562,0.02773175,mAU,1,Exp130_SEC,Signal,-2.189167
0.668473,0.0278530416666666,mAU,1,Exp130_SEC,Signal,-2.193721
0.671385,0.027974375,mAU,1,Exp130_SEC,Signal,-2.198557
0.674296,0.0280956666666666,mAU,1,Exp130_SEC,Signal,-2.203594
0.677208,0.028217,mAU,1,Exp130_SEC,Signal,-2.208542
0.68012,0.0283383333333333,mAU,1,Exp130_SEC,Signal,-2.213274
